序,,‘163,tushare,股票名称
1,000001,"'sz000001',","'000001.SZ',",平安银行
2,000002,"'sz000002',","'000002.SZ',",万科A
3,000063,"'sz000063',","'000063.SZ',",中兴通讯
4,000166,"'sz000166',","'000166.SZ',",申万宏源
5,000333,"'sz000333',","'000333.SZ',",美的集团
6,000538,"'sz000538',","'000538.SZ',",云南白药
7,000568,"'sz000568',","'000568.SZ',",泸州老窖
8,000651,"'sz000651',","'000651.SZ',",格力电器
9,000661,"'sz000661',","'000661.SZ',",长春高新
10,000725,"'sz000725',","'000725.SZ',",京东方A
11,000776,"'sz000776',","'000776.SZ',",广发证券
12,000858,"'sz000858',","'000858.SZ',",五粮液
13,000876,"'sz000876',","'000876.SZ',",新希望
14,000895,"'sz000895',","'000895.SZ',",双汇发展
15,001979,"'sz001979',","'001979.SZ',",招商蛇口
16,002024,"'sz002024',","'002024.SZ',",苏宁易购
17,002027,"'sz002027',","'002027.SZ',",分众传媒
18,002142,"'sz002142',","'002142.SZ',",宁波银行
19,002304,"'sz002304',","'002304.SZ',",洋河股份
20,002352,"'sz002352',","'002352.SZ',",顺丰控股
21,002415,"'sz002415',","'002415.SZ',",海康威视
22,002475,"'sz002475',","'002475.SZ',",立讯精密
23,002594,"'sz002594',","'002594.SZ',",比亚迪
24,002607,"'sz002607',","'002607.SZ',",中公教育
25,002714,"'sz002714',","'002714.SZ',",牧原股份
26,002736,"'sz002736',","'002736.SZ',",国信证券
27,002938,"'sz002938',","'002938.SZ',",鹏鼎控股
28,003816,"'sz003816',","'003816.SZ',",中国广核
29,300015,"'sz300015',","'300015.SZ',",爱尔眼科
30,300059,"'sz300059',","'300059.SZ',",东方财富
31,300122,"'sz300122',","'300122.SZ',",智飞生物
32,300498,"'sz300498',","'300498.SZ',",温氏股份
33,600000,"'sh600000',","'600000.SH',",浦发银行
34,600009,"'sh600009',","'600009.SH',",上海机场
35,600015,"'sh600015',","'600015.SH',",华夏银行
36,600016,"'sh600016',","'600016.SH',",民生银行
37,600018,"'sh600018',","'600018.SH',",上港集团
38,600019,"'sh600019',","'600019.SH',",宝钢股份
39,600028,"'sh600028',","'600028.SH',",中国石化
40,600030,"'sh600030',","'600030.SH',",中信证券
41,600031,"'sh600031',","'600031.SH',",三一重工
42,600036,"'sh600036',","'600036.SH',",招商银行
43,600048,"'sh600048',","'600048.SH',",保利地产
44,600050,"'sh600050',","'600050.SH',",中国联通
45,600104,"'sh600104',","'600104.SH',",上汽集团
46,600276,"'sh600276',","'600276.SH',",恒瑞医药
47,600309,"'sh600309',","'600309.SH',",万华化学
48,600346,"'sh600346',","'600346.SH',",恒力石化
49,600406,"'sh600406',","'600406.SH',",国电南瑞
50,600519,"'sh600519',","'600519.SH',",贵州茅台
51,600585,"'sh600585',","'600585.SH',",海螺水泥
52,600588,"'sh600588',","'600588.SH',",用友网络
53,600606,"'sh600606',","'600606.SH',",绿地控股
54,600690,"'sh600690',","'600690.SH',",海尔智家
55,600745,"'sh600745',","'600745.SH',",闻泰科技
56,600809,"'sh600809',","'600809.SH',",山西汾酒
57,600837,"'sh600837',","'600837.SH',",海通证券
58,600887,"'sh600887',","'600887.SH',",伊利股份
59,600900,"'sh600900',","'600900.SH',",长江电力
60,600918,"'sh600918',","'600918.SH',",中泰证券
61,600999,"'sh600999',","'600999.SH',",招商证券
62,601006,"'sh601006',","'601006.SH',",大秦铁路
63,601012,"'sh601012',","'601012.SH',",隆基股份
64,601066,"'sh601066',","'601066.SH',",中信建投
65,601088,"'sh601088',","'601088.SH',",中国神华
66,601138,"'sh601138',","'601138.SH',",工业富联
67,601166,"'sh601166',","'601166.SH',",兴业银行
68,601169,"'sh601169',","'601169.SH',",北京银行
69,601186,"'sh601186',","'601186.SH',",中国铁建
70,601211,"'sh601211',","'601211.SH',",国泰君安
71,601225,"'sh601225',","'601225.SH',",陕西煤业
72,601229,"'sh601229',","'601229.SH',",上海银行
73,601288,"'sh601288',","'601288.SH',",农业银行
74,601318,"'sh601318',","'601318.SH',",中国平安
75,601319,"'sh601319',","'601319.SH',",中国人保
76,601328,"'sh601328',","'601328.SH',",交通银行
77,601336,"'sh601336',","'601336.SH',",新华保险
78,601360,"'sh601360',","'601360.SH',",三六零
79,601390,"'sh601390',","'601390.SH',",中国中铁
80,601398,"'sh601398',","'601398.SH',",工商银行
81,601601,"'sh601601',","'601601.SH',",中国太保
82,601628,"'sh601628',","'601628.SH',",中国人寿
83,601658,"'sh601658',","'601658.SH',",邮储银行
84,601668,"'sh601668',","'601668.SH',",中国建筑
85,601688,"'sh601688',","'601688.SH',",华泰证券
86,601766,"'sh601766',","'601766.SH',",中国中车
87,601800,"'sh601800',","'601800.SH',",中国交建
88,601816,"'sh601816',","'601816.SH',",京沪高铁
89,601818,"'sh601818',","'601818.SH',",光大银行
90,601857,"'sh601857',","'601857.SH',",中国石油
91,601888,"'sh601888',","'601888.SH',",中国中免
92,601899,"'sh601899',","'601899.SH',",紫金矿业
93,601933,"'sh601933',","'601933.SH',",永辉超市
94,601988,"'sh601988',","'601988.SH',",中国银行
95,601989,"'sh601989',","'601989.SH',",中国重工
96,601998,"'sh601998',","'601998.SH',",中信银行
97,603160,"'sh603160',","'603160.SH',",汇顶科技
98,603259,"'sh603259',","'603259.SH',",药明康德
99,603288,"'sh603288',","'603288.SH',",海天味业
100,603501,"'sh603501',","'603501.SH',",韦尔股份
